,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,Promedio,M__at_home,M__nurse,M__otherMomJob,M__services,M__teacher,F__at_home,F__health,F__otherFatherJob,F__services,F__teacher,G__father,G__mother,G__otherGuardian
13,0,15,0,1,0,4,3,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,10.33333333,0,0,0,0,1,0,0,1,0,0,0,1,0
14,0,15,0,1,1,2,2,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,15.33333333,0,0,1,0,0,0,0,1,0,0,0,0,1
15,1,16,0,1,0,4,4,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,14.0,0,1,0,0,0,0,0,1,0,0,0,1,0
16,1,16,0,1,0,4,4,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,13.66666667,0,0,0,1,0,0,0,0,1,0,0,1,0
17,1,16,0,1,0,3,3,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,9.333333333,0,0,1,0,0,0,0,1,0,0,0,1,0
18,0,17,0,1,0,3,2,1,1,3,0,1,0,1,1,1,1,0,5,5,5,2,4,5,16,5.333333333,0,0,0,1,0,0,0,0,1,0,0,1,0
19,0,16,0,0,0,4,3,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,9.333333333,0,1,0,0,0,0,0,1,0,0,1,0,0
20,0,15,0,1,0,4,3,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,14.0,0,0,0,0,1,0,0,1,0,0,0,1,0
21,0,15,0,1,0,4,4,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,14.0,0,1,0,0,0,0,1,0,0,0,1,0,0
22,0,16,0,0,0,4,2,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,15.33333333,0,0,0,0,1,0,0,1,0,0,0,1,0
23,0,16,0,0,0,2,2,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,12.66666667,0,0,1,0,0,0,0,1,0,0,0,1,0
24,1,15,1,1,0,2,4,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,9.0,0,0,0,1,0,0,1,0,0,0,0,1,0
25,1,16,0,1,0,2,2,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,7.666666667,0,0,0,1,0,0,0,0,1,0,0,1,0
26,0,15,0,1,0,2,2,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,11.66666667,0,0,1,0,0,0,0,1,0,0,0,1,0
27,0,15,0,1,0,4,2,1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4,15.33333333,0,1,0,0,0,0,0,0,1,0,0,1,0
28,0,16,0,0,1,3,4,1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4,11.0,0,0,0,1,0,0,0,1,0,0,0,1,0
29,0,16,0,1,0,4,4,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16,11.0,0,0,0,0,1,0,0,0,0,1,0,1,0
30,0,15,0,1,0,4,4,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,10.66666667,0,1,0,0,0,0,0,0,1,0,0,1,0
31,0,15,0,1,0,4,4,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0,16.66666667,0,0,0,1,0,0,0,0,1,0,0,1,0
32,0,15,1,1,0,4,3,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,16.33333333,0,0,0,0,1,1,0,0,0,0,0,1,0
33,0,15,0,0,0,3,3,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,10.0,0,0,1,0,0,0,0,1,0,0,0,1,0
34,0,16,0,1,0,3,2,1,1,0,0,1,1,0,0,1,1,0,5,4,3,1,1,5,0,13.66666667,0,0,1,0,0,0,0,1,0,0,0,1,0
35,1,15,0,1,0,2,3,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0,7.0,0,0,1,0,0,0,0,1,0,0,1,0,0
36,0,15,0,0,0,4,3,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,2,16.33333333,0,0,0,0,1,0,0,0,1,0,0,1,0
37,0,16,1,1,1,4,4,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,7,15.33333333,0,0,1,0,0,0,0,0,0,1,0,1,0
38,1,15,1,1,0,3,4,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,11.66666667,0,0,0,1,0,0,1,0,0,0,0,1,0
39,1,15,1,1,0,2,2,1,1,0,1,1,1,1,1,1,0,0,4,3,1,1,1,2,8,13.33333333,1,0,0,0,0,0,0,1,0,0,0,1,0
40,1,16,0,0,0,2,2,2,2,1,0,1,0,1,0,1,1,1,3,3,3,1,2,3,25,9.333333333,0,0,1,0,0,0,0,1,0,0,0,1,0
41,0,15,0,0,0,4,4,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,12.0,0,0,0,0,1,0,0,1,0,0,0,0,1
42,0,15,0,1,0,4,4,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,2,18.33333333,0,0,0,1,0,0,0,0,0,1,1,0,0
43,0,15,0,1,0,2,2,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,9.0,0,0,0,1,0,0,0,0,1,0,1,0,0
44,1,16,0,0,0,2,2,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,9.666666667,0,0,1,0,0,1,0,0,0,0,1,0,0
45,1,15,0,0,1,4,3,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,8,7.333333333,0,0,1,0,0,0,0,1,0,0,0,1,0
46,1,16,0,0,1,3,3,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,12,11.33333333,0,0,1,0,0,0,0,0,1,0,0,1,0
47,0,16,0,1,0,4,3,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4,19.33333333,0,1,0,0,0,0,0,0,1,0,0,1,0
48,0,15,0,1,0,4,2,1,2,0,0,1,1,0,1,1,0,0,4,3,3,2,2,5,2,14.66666667,0,0,0,0,1,0,0,1,0,0,0,1,0
49,1,15,0,1,0,4,4,1,2,1,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,7.0,0,0,0,1,0,0,0,0,0,1,1,0,0
50,1,16,0,0,0,2,2,3,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,4,2,12.66666667,0,0,0,1,0,0,0,0,1,0,0,1,0
51,1,15,0,0,0,4,2,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2,12.33333333,0,1,0,0,0,0,0,1,0,0,0,1,0
52,0,15,0,0,1,4,2,2,1,1,0,0,0,0,1,1,0,0,5,5,5,3,4,5,6,10.66666667,0,1,0,0,0,0,1,0,0,0,1,0,0
53,1,15,0,1,0,4,4,1,1,0,1,1,1,0,1,1,1,0,3,3,4,2,3,5,0,9.666666667,0,0,0,1,0,0,0,0,1,0,0,1,0
54,1,15,0,0,1,3,3,1,1,0,0,0,1,0,1,1,1,0,5,3,4,4,4,1,6,12.0,0,0,1,0,0,0,0,1,0,0,0,1,0
55,1,16,0,1,1,2,1,1,2,0,0,0,1,1,1,1,1,1,5,3,4,1,1,2,8,9.0,0,0,1,0,0,0,0,1,0,0,0,1,0
56,1,15,0,1,1,4,3,1,2,0,0,1,1,1,1,1,1,0,4,3,2,1,1,1,0,14.66666667,0,0,0,1,0,0,0,0,1,0,0,1,0
57,0,15,0,1,0,4,4,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,4,14.66666667,0,0,0,0,1,0,1,0,0,0,0,1,0
58,0,15,0,0,0,1,2,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,9.333333333,0,0,1,0,0,1,0,0,0,0,1,0,0
59,1,16,0,1,0,4,2,1,2,0,0,1,0,0,1,1,1,0,4,2,3,1,1,5,2,15.66666667,0,0,0,1,0,0,0,1,0,0,0,1,0
60,1,16,1,1,0,4,4,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,6,10.66666667,0,1,0,0,0,0,0,0,0,1,0,1,0
61,1,16,0,1,0,1,1,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6,9.666666667,0,0,0,1,0,0,0,0,1,0,1,0,0
62,1,16,0,0,0,1,2,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,4,9.0,0,0,1,0,0,0,0,0,1,0,1,0,0
63,1,16,0,1,0,4,3,1,3,0,1,1,1,1,1,1,1,0,3,4,4,2,4,4,2,9.333333333,0,0,0,0,1,0,1,0,0,0,0,1,0
64,1,15,0,0,0,4,3,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,10.0,0,0,0,1,0,0,0,0,1,0,1,0,0
65,1,16,0,0,0,4,3,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,15.33333333,0,0,0,0,1,0,0,0,1,0,0,1,0
66,0,15,0,1,1,4,4,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,4,12.66666667,0,0,1,0,0,0,0,0,1,0,0,1,0
67,1,16,0,1,0,3,1,1,4,0,1,1,1,0,1,1,1,0,4,3,3,1,2,5,4,6.666666667,0,0,0,1,0,0,0,1,0,0,0,1,0
68,1,15,1,0,0,2,2,2,2,0,1,1,1,0,1,1,1,0,4,1,3,1,3,4,2,8.333333333,0,1,0,0,0,0,0,0,1,0,0,1,0
69,1,15,1,0,0,3,1,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,12,16.0,0,0,1,0,0,0,0,1,0,0,1,0,0
70,0,16,0,1,0,3,1,2,4,0,0,1,1,0,1,1,1,0,4,3,2,1,1,5,0,14.33333333,0,0,1,0,0,0,0,1,0,0,1,0,0
71,0,15,0,1,0,4,2,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,10.0,0,0,1,0,0,0,0,1,0,0,0,1,0
72,1,15,1,1,0,1,1,1,2,2,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,6.333333333,0,0,1,0,0,0,0,1,0,0,0,1,0
73,0,16,0,1,0,3,1,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,2,12.66666667,0,0,1,0,0,0,0,1,0,0,0,1,0
74,1,16,0,1,0,3,3,1,2,0,1,1,1,1,1,1,1,0,4,3,3,2,4,5,54,11.33333333,0,0,1,0,0,0,0,0,1,0,0,1,0
75,0,15,0,1,0,4,3,1,2,0,0,1,1,1,1,1,1,0,4,3,3,2,3,5,6,9.333333333,0,0,0,0,1,0,0,1,0,0,0,1,0
76,0,15,0,1,0,4,0,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,8,10.66666667,0,0,0,0,1,0,0,1,0,0,0,1,0
77,1,16,0,1,0,2,2,1,4,0,0,0,1,0,1,1,1,1,5,2,3,1,3,3,0,11.0,0,0,1,0,0,0,0,1,0,0,0,1,0
78,0,17,0,1,0,2,1,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,2,8.666666667,0,0,1,0,0,0,0,1,0,0,0,1,0
79,1,16,0,1,0,3,4,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,12,5.0,1,0,0,0,0,0,0,1,0,0,0,1,0
80,0,15,0,1,0,2,3,1,1,0,1,1,1,1,0,1,1,1,3,2,2,1,3,3,2,11.33333333,0,0,1,0,0,0,0,0,1,0,1,0,0
81,0,15,0,1,0,2,3,1,3,0,1,0,1,0,0,1,1,0,5,3,2,1,2,5,4,10.66666667,0,0,1,0,0,0,0,1,0,0,0,1,0
82,1,15,0,0,0,3,2,1,2,0,0,1,1,0,1,1,1,0,4,4,4,1,1,5,10,6.333333333,0,0,0,1,0,0,0,1,0,0,0,1,0
83,0,15,0,0,0,2,2,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,4,15.0,0,0,0,1,0,0,0,0,1,0,0,1,0
84,1,15,0,1,0,1,1,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,9.666666667,0,0,1,0,0,0,0,1,0,0,1,0,0
85,1,15,0,1,0,4,4,2,2,2,0,0,1,0,1,1,1,1,4,4,4,2,3,5,6,8.0,0,0,0,1,0,0,0,0,1,0,1,0,0
86,1,16,0,0,0,2,2,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,4,7.0,1,0,0,0,0,0,0,1,0,0,0,1,0
87,1,15,0,1,0,4,2,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4,13.66666667,0,0,1,0,0,0,0,1,0,0,0,1,0
88,0,16,0,1,0,2,2,2,2,1,0,0,1,1,0,1,1,0,4,4,2,1,1,3,12,10.33333333,0,0,0,1,0,0,0,1,0,0,1,0,0
89,0,16,0,0,1,4,4,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,18,7.0,0,0,0,0,1,0,1,0,0,0,0,1,0
90,1,16,0,1,0,3,3,1,3,0,0,1,1,0,1,1,1,1,4,3,3,1,3,4,0,7.333333333,0,0,1,0,0,0,0,1,0,0,0,1,0
91,1,15,0,1,0,4,3,1,1,0,0,0,1,1,1,1,1,0,4,5,5,1,3,1,4,17.0,0,0,0,1,0,0,0,1,0,0,0,1,0
92,1,16,0,0,0,3,1,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,4,6.333333333,0,0,1,0,0,0,0,1,0,0,1,0,0
93,1,16,0,1,0,4,2,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,1,1,0,10.33333333,0,0,0,0,1,0,0,0,1,0,0,1,0
94,0,15,0,0,0,2,2,1,4,0,0,1,0,1,1,1,1,0,4,3,4,1,1,4,6,12.66666667,0,0,0,1,0,0,1,0,0,0,0,1,0
95,1,15,1,1,0,1,1,2,4,1,1,1,1,1,1,1,1,0,3,1,2,1,1,1,2,9.0,1,0,0,0,0,0,0,1,0,0,0,1,0
96,0,16,1,1,0,4,3,2,1,0,1,1,0,1,0,1,1,0,3,3,3,1,1,4,2,13.66666667,0,0,0,1,0,0,0,1,0,0,0,1,0
97,1,16,0,1,0,2,1,1,2,0,0,1,1,0,1,1,0,1,4,3,5,1,1,5,2,9.0,0,0,1,0,0,0,0,1,0,0,0,1,0
98,1,16,0,1,0,4,4,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,6,13.0,0,0,1,0,0,0,0,1,0,0,0,1,0
99,1,16,0,1,0,4,3,1,3,0,1,1,1,0,1,1,1,0,5,3,5,1,1,3,0,8.0,0,0,1,0,0,1,0,0,0,0,0,1,0
100,0,16,0,1,0,4,4,1,1,0,1,1,1,1,1,1,1,0,4,5,5,5,5,4,14,6.333333333,0,0,0,1,0,0,0,0,1,0,0,1,0
101,0,16,0,1,0,4,4,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,1,4,0,16.66666667,0,0,0,1,0,0,0,0,0,1,1,0,0
102,0,15,0,1,0,4,4,1,1,0,0,1,0,1,0,1,1,0,5,3,3,1,1,5,4,12.33333333,0,0,0,1,0,0,0,1,0,0,0,1,0
103,1,15,0,1,0,3,2,2,2,0,1,1,1,0,1,1,1,0,4,3,5,1,1,2,26,6.333333333,0,0,0,1,0,0,0,1,0,0,0,1,0
104,0,15,0,1,1,3,4,1,2,0,0,1,1,1,1,1,1,0,5,4,4,1,1,1,0,17.33333333,0,0,0,1,0,0,0,1,0,0,0,1,0
105,1,15,0,1,1,3,3,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10,10.66666667,0,0,1,0,0,0,1,0,0,0,1,0,0
106,1,15,0,1,0,2,2,1,4,0,1,1,1,0,1,1,1,0,5,1,2,1,1,3,8,7.666666667,0,0,1,0,0,0,0,1,0,0,0,1,0
107,0,16,0,1,0,3,3,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,2,17.33333333,0,0,0,1,0,0,0,1,0,0,1,0,0
108,0,15,1,1,0,4,4,4,4,0,0,1,1,1,1,1,1,1,1,3,5,3,5,1,6,12.0,0,0,1,0,0,0,0,1,0,0,1,0,0
109,1,16,0,0,0,4,4,1,3,0,0,1,1,1,1,1,1,1,5,4,5,1,1,4,4,15.0,0,1,0,0,0,0,1,0,0,0,0,1,0
110,0,15,0,0,1,4,4,1,1,0,0,0,0,1,1,1,1,0,5,5,3,1,1,4,6,18.66666667,0,0,0,0,1,0,0,0,0,1,0,1,0
111,1,16,1,1,0,3,3,1,3,1,1,1,0,1,1,1,1,0,4,1,2,1,1,2,0,9.0,0,0,0,1,0,0,0,1,0,0,1,0,0
112,1,16,0,1,0,2,2,1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,6,12.0,1,0,0,0,0,0,0,1,0,0,0,1,0
113,0,15,0,0,0,4,2,1,1,0,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,18.66666667,0,0,0,0,1,0,0,1,0,0,0,1,0
114,0,15,1,1,0,2,1,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,8,9.0,0,1,0,0,0,0,0,0,1,0,0,1,0
115,0,16,0,1,0,4,4,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,2,15.33333333,0,0,0,0,1,0,0,0,0,1,1,0,0
116,0,15,0,1,0,4,4,2,2,0,0,1,0,1,1,1,0,0,4,4,3,1,1,2,2,12.66666667,0,0,1,0,0,0,0,0,0,1,1,0,0
117,0,16,0,1,0,3,3,2,1,0,0,0,0,1,1,1,1,0,5,4,2,1,1,5,0,13.33333333,0,0,1,0,0,0,0,0,1,0,1,0,0
118,0,17,1,1,0,1,3,3,2,1,0,1,0,1,1,1,1,0,5,2,4,1,4,5,20,8.0,0,0,1,0,0,0,0,1,0,0,1,0,0
119,0,15,0,1,0,3,4,1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,6,13.33333333,0,0,1,0,0,0,0,1,0,0,1,0,0
120,1,15,0,1,0,1,2,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,2,15.33333333,1,0,0,0,0,0,0,0,1,0,0,1,0
121,0,15,0,1,0,2,2,1,4,0,0,1,1,1,1,1,1,0,5,5,4,1,2,5,6,15.0,0,0,0,1,0,0,0,0,1,0,1,0,0
122,1,16,0,0,0,2,4,2,2,0,0,1,1,1,1,1,1,1,4,2,2,1,2,5,2,13.0,0,0,1,0,0,0,1,0,0,0,1,0,0
123,0,16,0,1,0,4,4,1,1,0,0,1,0,1,1,1,1,0,3,4,4,1,4,5,18,12.66666667,0,1,0,0,0,0,0,1,0,0,0,1,0
124,1,16,0,1,0,2,2,1,2,0,0,0,1,0,1,1,1,1,5,4,4,1,1,5,0,7.666666667,0,0,1,0,0,0,0,1,0,0,0,1,0
125,0,15,0,1,0,3,4,1,1,0,1,0,0,0,1,1,1,0,5,5,5,3,2,5,0,12.66666667,0,0,0,1,0,0,0,0,1,0,1,0,0
126,1,15,0,0,1,3,4,1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,1,1,0,9.333333333,0,0,1,0,0,0,0,1,0,0,0,1,0
127,1,19,0,1,0,0,1,1,2,3,0,1,0,0,0,0,0,0,3,4,2,1,1,5,2,8.0,1,0,0,0,0,0,0,1,0,0,0,0,1
128,0,18,1,1,0,2,2,1,1,2,0,1,0,1,1,1,1,0,3,3,3,1,2,4,0,3.666666667,0,0,0,1,0,0,0,1,0,0,0,1,0
129,0,16,1,1,0,4,4,1,1,0,0,0,1,1,1,1,1,0,3,5,5,2,5,4,8,18.0,0,0,0,0,1,0,0,0,0,1,0,1,0
130,1,15,1,1,0,3,4,2,3,2,0,1,0,0,1,1,1,1,4,2,2,2,2,5,0,4.0,0,0,0,1,0,0,0,0,0,1,1,0,0
131,1,15,0,1,0,1,1,3,1,0,0,1,0,1,0,1,1,1,4,3,3,1,2,4,0,2.666666667,1,0,0,0,0,0,0,1,0,0,0,1,0
132,1,17,0,0,0,2,2,1,1,0,0,1,0,0,1,1,1,1,3,4,4,1,3,5,12,11.66666667,0,0,1,0,0,0,0,1,0,0,1,0,0
133,1,16,0,1,1,3,4,1,1,0,0,0,0,0,1,1,1,0,3,2,1,1,4,5,16,11.33333333,0,0,0,1,0,0,0,1,0,0,1,0,0
134,0,15,1,1,0,3,4,4,2,0,0,1,0,0,1,1,0,1,5,3,3,1,1,5,0,3.0,1,0,0,0,0,0,0,0,0,1,0,1,0
135,1,15,0,1,0,4,4,1,3,0,0,1,0,1,1,1,1,1,4,3,3,1,1,5,0,3.666666667,0,0,0,1,0,1,0,0,0,0,0,1,0
136,0,17,1,1,0,3,4,3,2,0,0,0,0,0,1,1,0,0,5,4,5,2,4,5,0,3.333333333,1,0,0,0,0,0,0,1,0,0,0,1,0
137,1,16,0,1,1,3,3,2,1,2,0,1,0,1,0,1,1,1,4,3,2,1,1,5,0,1.333333333,0,0,1,0,0,0,0,1,0,0,0,0,1
138,0,16,0,0,0,1,1,1,2,1,0,0,0,0,1,1,0,1,4,4,4,1,3,5,0,12.66666667,0,0,0,1,0,0,0,1,0,0,0,1,0
139,1,15,0,1,0,4,4,2,1,0,0,0,0,1,1,1,1,0,4,3,2,1,1,5,0,15.66666667,0,0,0,0,1,0,0,0,0,1,0,1,0
140,0,15,0,1,0,4,3,2,4,0,1,1,0,0,1,1,1,0,2,2,2,1,1,3,0,5.333333333,0,0,0,0,1,0,0,0,1,0,1,0,0
141,0,16,0,0,0,2,2,2,1,2,0,1,0,1,1,1,1,0,2,3,3,2,2,2,8,9.0,0,0,0,1,0,0,0,0,1,0,1,0,0
142,1,15,0,1,0,4,4,1,3,0,0,1,1,1,1,1,1,0,4,2,2,1,1,5,2,10.33333333,0,0,0,0,1,0,0,0,1,0,0,1,0
143,1,16,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,3,4,4,3,3,1,2,13.66666667,1,0,0,0,0,1,0,0,0,0,0,1,0
144,0,17,0,1,0,2,1,1,1,3,0,1,0,0,1,1,1,0,5,4,5,1,2,5,0,1.666666667,0,0,1,0,0,0,0,1,0,0,0,1,0
145,1,15,0,1,0,1,1,1,2,0,0,1,1,0,1,1,1,0,4,4,2,1,2,5,0,10.0,0,0,1,0,0,0,0,0,1,0,1,0,0
146,1,15,0,1,0,3,2,1,2,3,0,1,0,0,1,1,1,0,3,3,2,1,1,3,0,4.333333333,0,1,0,0,0,0,0,0,1,0,1,0,0
147,1,15,0,1,0,1,2,1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,5,2,10.66666667,1,0,0,0,0,0,0,1,0,0,0,1,0
148,0,16,0,1,0,4,4,1,1,0,0,1,0,0,1,0,1,1,3,3,2,2,1,5,0,4.333333333,0,0,0,0,1,0,0,0,0,1,0,1,0
149,0,15,0,0,1,2,1,4,1,3,0,0,0,0,1,1,1,0,4,5,5,2,5,5,0,9.0,0,0,0,1,0,0,0,1,0,0,0,1,0
150,0,18,0,0,0,1,1,1,1,3,0,0,0,0,1,0,1,1,2,3,5,2,5,4,0,3.666666667,0,0,1,0,0,0,0,1,0,0,0,1,0
151,0,16,0,0,0,2,1,1,1,1,0,0,0,1,1,1,0,1,4,4,4,3,5,5,6,13.0,1,0,0,0,0,0,0,1,0,0,0,1,0
152,1,15,1,1,0,3,3,2,3,2,0,1,1,1,1,1,1,1,4,2,1,2,3,3,8,10.0,0,0,0,1,0,0,0,0,1,0,0,0,1
153,0,19,0,1,0,3,2,1,1,3,0,1,0,0,1,0,1,1,4,5,4,1,1,4,0,1.666666667,0,0,0,1,0,1,0,0,0,0,0,1,0
154,1,17,0,1,0,4,4,1,1,0,1,1,0,0,1,1,0,1,4,2,1,1,1,4,0,11.33333333,0,0,1,0,0,0,0,0,0,1,0,1,0
155,0,15,1,1,0,2,3,1,2,0,1,0,1,1,1,1,0,0,4,4,4,1,1,1,2,9.0,1,0,0,0,0,0,0,0,1,0,0,1,0
156,0,17,1,0,0,1,2,1,1,0,0,0,0,0,1,1,0,0,2,2,2,3,3,5,8,13.66666667,0,0,1,0,0,0,0,1,0,0,0,1,0
157,1,18,1,1,0,1,1,3,1,3,0,1,0,1,0,1,0,0,5,2,5,1,5,4,6,9.0,1,0,0,0,0,0,0,1,0,0,0,1,0
158,0,16,1,1,0,2,2,3,1,0,0,0,0,0,0,1,0,0,4,2,2,1,2,3,2,15.66666667,1,0,0,0,0,0,0,1,0,0,0,1,0
159,0,16,0,1,0,3,3,1,2,1,0,1,1,0,1,1,1,1,4,5,5,4,4,5,4,11.33333333,0,0,1,0,0,0,0,0,1,0,1,0,0
160,0,17,1,0,0,2,1,2,1,2,0,0,0,1,1,0,1,1,3,3,2,2,2,5,0,4.333333333,1,0,0,0,0,0,0,1,0,0,0,1,0
161,0,15,1,1,0,3,2,2,2,2,1,1,0,0,1,1,1,1,4,4,4,1,4,3,6,7.0,0,0,1,0,0,0,0,1,0,0,0,1,0
162,0,16,0,0,0,1,2,2,1,1,0,0,0,1,1,1,0,0,4,4,4,2,4,5,0,2.333333333,0,0,1,0,0,0,0,1,0,0,0,1,0
